State,X Distance,Y Distance,Linear Distance,Manhatten Cost,Cost
TURN_RIGHT,2,0,2.0,2.0,5,
BASH_FORWARD,2,0,2.0,2.0,4,
TURN_RIGHT,3,2,3.605551275463989,5.0,11,
FORWARD,3,2,3.605551275463989,5.0,10,
FORWARD,2,2,2.8284271247461903,4.0,8,
FORWARD,1,2,2.23606797749979,3.0,7,
TURN_LEFT,0,2,2.0,2.0,5,
BASH_FORWARD,0,2,2.0,2.0,4,
TURN_RIGHT,2,1,2.23606797749979,3.0,10,
TURN_RIGHT,2,1,2.23606797749979,3.0,9,
FORWARD,2,1,2.23606797749979,3.0,8,
TURN_LEFT,2,0,2.0,2.0,5,
FORWARD,2,0,2.0,2.0,3,
FORWARD,1,0,1.0,1.0,1,
TURN_LEFT,3,2,3.605551275463989,5.0,12,
FORWARD,3,2,3.605551275463989,5.0,11,
BASH_FORWARD,2,2,2.8284271247461903,4.0,8,
TURN_LEFT,0,2,2.0,2.0,3,
FORWARD,0,2,2.0,2.0,2,
FORWARD,0,1,1.0,1.0,1,
TURN_RIGHT,1,1,1.4142135623730951,2.0,7,
FORWARD,1,1,1.4142135623730951,2.0,6,
TURN_RIGHT,0,1,1.0,1.0,3,
FORWARD,0,1,1.0,1.0,1,
TURN_LEFT,1,2,2.23606797749979,3.0,17,
FORWARD,1,2,2.23606797749979,3.0,16,
TURN_LEFT,0,2,2.0,2.0,8,
BASH_FORWARD,0,2,2.0,2.0,4,
TURN_RIGHT,7,3,7.615773105863909,10.0,36,
BASH_FORWARD,7,3,7.615773105863909,10.0,35,
BASH_FORWARD,5,3,5.830951894845301,8.0,28,
BASH_FORWARD,3,3,4.242640687119285,6.0,24,
FORWARD,1,3,3.1622776601683795,4.0,17,
TURN_LEFT,0,3,3.0,3.0,12,
FORWARD,0,3,3.0,3.0,9,
BASH_FORWARD,0,2,2.0,2.0,4,
TURN_RIGHT,4,3,5.0,7.0,24,
TURN_RIGHT,4,3,5.0,7.0,23,
BASH_FORWARD,4,3,5.0,7.0,22,
TURN_LEFT,4,1,4.123105625617661,5.0,16,
BASH_FORWARD,4,1,4.123105625617661,5.0,14,
BASH_FORWARD,2,1,2.23606797749979,3.0,6,
TURN_RIGHT,0,1,1.0,1.0,2,
FORWARD,0,1,1.0,1.0,1,
TURN_LEFT,5,7,8.602325267042627,12.0,34,
FORWARD,5,7,8.602325267042627,12.0,33,
BASH_FORWARD,4,7,8.06225774829855,11.0,29,
TURN_LEFT,2,7,7.280109889280518,9.0,24,
BASH_FORWARD,2,7,7.280109889280518,9.0,23,
FORWARD,2,5,5.385164807134504,7.0,19,
BASH_FORWARD,2,4,4.47213595499958,6.0,18,
BASH_FORWARD,2,2,2.8284271247461903,4.0,8,
TURN_RIGHT,2,0,2.0,2.0,4,
FORWARD,2,0,2.0,2.0,3,
FORWARD,1,0,1.0,1.0,1,
TURN_RIGHT,7,7,9.899494936611665,14.0,48,
TURN_RIGHT,7,7,9.899494936611665,14.0,47,
FORWARD,7,7,9.899494936611665,14.0,46,
TURN_RIGHT,7,6,9.219544457292887,13.0,41,
BASH_FORWARD,7,6,9.219544457292887,13.0,38,
FORWARD,5,6,7.810249675906654,11.0,34,
FORWARD,4,6,7.211102550927978,10.0,31,
FORWARD,3,6,6.708203932499369,9.0,29,
FORWARD,2,6,6.324555320336759,8.0,27,
FORWARD,1,6,6.082762530298219,7.0,25,
TURN_LEFT,0,6,6.0,6.0,23,
FORWARD,0,6,6.0,6.0,22,
TURN_RIGHT,0,5,5.0,5.0,20,
FORWARD,0,5,5.0,5.0,19,
TURN_LEFT,1,5,5.0990195135927845,6.0,17,
BASH_FORWARD,1,5,5.0990195135927845,6.0,16,
FORWARD,1,3,3.1622776601683795,4.0,10,
BASH_FORWARD,1,2,2.23606797749979,3.0,9,
TURN_LEFT,1,0,1.0,1.0,3,
FORWARD,1,0,1.0,1.0,1,
TURN_RIGHT,3,0,3.0,3.0,6,
FORWARD,3,0,3.0,3.0,5,
BASH_FORWARD,2,0,2.0,2.0,4,
BASH_FORWARD,3,2,3.605551275463989,5.0,14,
TURN_RIGHT,3,0,3.0,3.0,8,
BASH_FORWARD,3,0,3.0,3.0,6,
FORWARD,1,0,1.0,1.0,1,
TURN_RIGHT,0,8,8.0,8.0,30,
TURN_RIGHT,0,8,8.0,8.0,29,
BASH_FORWARD,0,8,8.0,8.0,28,
FORWARD,0,6,6.0,6.0,19,
BASH_FORWARD,0,5,5.0,5.0,15,
BASH_FORWARD,0,3,3.0,3.0,5,
FORWARD,0,1,1.0,1.0,1,
TURN_RIGHT,6,2,6.324555320336759,8.0,26,
FORWARD,6,2,6.324555320336759,8.0,25,
TURN_LEFT,5,2,5.385164807134504,7.0,22,
FORWARD,5,2,5.385164807134504,7.0,20,
TURN_RIGHT,5,1,5.0990195135927845,6.0,18,
FORWARD,5,1,5.0990195135927845,6.0,17,
BASH_FORWARD,4,1,4.123105625617661,5.0,13,
BASH_FORWARD,2,1,2.23606797749979,3.0,7,
TURN_LEFT,0,1,1.0,1.0,2,
FORWARD,0,1,1.0,1.0,1,
TURN_RIGHT,8,8,11.313708498984761,16.0,48,
TURN_RIGHT,8,8,11.313708498984761,16.0,47,
BASH_FORWARD,8,8,11.313708498984761,16.0,46,
TURN_LEFT,8,6,10.0,14.0,42,
BASH_FORWARD,8,6,10.0,14.0,41,
FORWARD,6,6,8.48528137423857,12.0,37,
TURN_RIGHT,5,6,7.810249675906654,11.0,33,
FORWARD,5,6,7.810249675906654,11.0,31,
